hb_ratio_mol,hv_ratio_mol,mw_phbv,mn_phbv,pdi,additive1_type,additive1_percentage_wt,additive2_type,additive2_percentage_wt,spread_speed,young_modulus,tensile_strength,elongation_at_break,tg1,tc1,tm1,td5,dhm1,crystallinity
28.5,71.5,3070000.0,1260000.0,2.44,no_additive,0.0,no_additive,0.0,,336.5,9.8,6.1,-9.6,,73.7,232.6,,
55.6,44.4,2710000.0,1540000.0,1.76,no_additive,0.0,no_additive,0.0,,198.0,6.4,7.9,-5.5,,84.3,267.4,,
97.5,2.5,1120000.0,1051000.0,1.07,no_additive,0.0,no_additive,0.0,,,,,2.2,,177.8,,,66.4
97.4,2.5999999999999943,1732000.0,1451000.0,1.2,no_additive,0.0,no_additive,0.0,,,,,3.4,,175.9,,,67.8
72.6,27.4,125330.0,61470.0,2.0388807548397594,no_additive,0.0,no_additive,0.0,,,,,-7.18,79.39,131.77,,,29.34
70.8,29.2,337979.0,105252.0,3.211140880933379,no_additive,0.0,no_additive,0.0,,,,,-3.12,70.74,135.67,,,28.34
77.5,22.5,80509.0,35575.0,2.2630780042164442,no_additive,0.0,no_additive,0.0,,,,,-3.25,78.56,131.52,,,32.16
79.7,20.3,250588.0,76752.0,3.2649051490514904,no_additive,0.0,no_additive,0.0,,,,,-6.87,62.4,134.73,,,24.0
86.2,13.8,170849.0,54624.0,3.1277277387229057,no_additive,0.0,no_additive,0.0,,,,,-4.86,68.67,137.89,,,31.51
64.93506493506493,35.064935064935064,115908.0,50442.0,2.297847032235042,no_additive,0.0,no_additive,0.0,,,,,-7.39,81.49,130.21,,,8.73
72.6027397260274,27.397260273972602,176394.0,66464.0,2.653978093403948,no_additive,0.0,no_additive,0.0,,,,,-6.25,74.76,131.4,,,28.59
75.11520737327189,24.884792626728114,345465.0,140753.0,2.4544059451663554,no_additive,0.0,no_additive,0.0,,,,,-4.35,70.65,135.92,,,23.16
74.5995423340961,25.400457665903893,365390.0,145918.0,2.5040776326429914,no_additive,0.0,no_additive,0.0,,,,,-1.7,69.9,140.09,,,16.35
79.71698113207547,20.283018867924525,232746.0,73183.0,3.180328764877089,no_additive,0.0,no_additive,0.0,,,,,-6.51,62.47,135.32,,,25.24
79.76190476190476,20.238095238095237,268430.0,80321.0,3.341965363977042,no_additive,0.0,no_additive,0.0,,,,,-7.22,62.33,134.14,,,22.76
77.0935960591133,22.9064039408867,156576.0,52063.0,3.0074333019610857,no_additive,0.0,no_additive,0.0,,,,,-5.27,76.79,137.02,,,28.31
84.42622950819673,15.573770491803279,372673.0,125268.0,2.9750055880192865,no_additive,0.0,no_additive,0.0,,,,,-4.55,80.69,135.74,,,19.13
77.58620689655172,22.413793103448278,278082.0,79241.0,3.5093196703726606,no_additive,0.0,no_additive,0.0,,,,,-2.93,73.95,135.89,,,26.2
100.0,0.0,800000.0,,,no_additive,0.0,no_additive,0.0,,,,,,,179.0,,97.0,67.0
87.0,13.0,420000.0,,,no_additive,0.0,no_additive,0.0,,,,,,96.0,155.0,236.0,,48.0
87.0,13.0,420000.0,,,reinforcment_and_stiffening_modifiers,0.5,no_additive,0.0,,,,,,97.0,157.0,,,46.0
87.0,13.0,420000.0,,,reinforcment_and_stiffening_modifiers,1.0,no_additive,0.0,,,,,,98.0,157.0,253.0,,46.0
87.0,13.0,420000.0,,,reinforcment_and_stiffening_modifiers,2.0,no_additive,0.0,,,,,,92.0,157.0,257.0,,46.0
87.0,13.0,420000.0,,,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,,,,,,94.0,157.0,262.0,,47.0
87.0,13.0,420000.0,,,reinforcment_and_stiffening_modifiers,10.0,no_additive,0.0,,,,,,102.0,157.0,265.0,,47.0
98.0,2.0,340000.0,,,no_additive,0.0,no_additive,0.0,,,,,,118.0,165.0,258.0,,68.0
98.0,2.0,340000.0,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,,,,,119.0,165.0,261.0,,71.0
98.0,2.0,340000.0,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,,,,,119.0,161.0,267.0,,69.0
98.0,2.0,340000.0,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,,,,,119.0,165.0,259.0,,67.0
100.0,0.0,1020000.0,510000.0,2.0,no_additive,0.0,no_additive,0.0,,,43.0,5.0,4.0,,177.0,,,60.0
100.0,0.0,,,,no_additive,0.0,no_additive,0.0,,3500.0,40.0,5.0,4.0,,179.0,,,
97.0,3.0,,,,no_additive,0.0,no_additive,0.0,,2900.0,38.0,,,,170.0,,,
91.0,9.0,,,,no_additive,0.0,no_additive,0.0,,1900.0,37.0,,,,162.0,,,
86.0,14.0,,,,no_additive,0.0,no_additive,0.0,,1500.0,35.0,,,,150.0,,,
80.0,20.0,,,,no_additive,0.0,no_additive,0.0,,1200.0,32.0,,,,145.0,,,
25.0,75.0,,,,no_additive,0.0,no_additive,0.0,,700.0,30.0,,,,137.0,,,
100.0,0.0,,,,no_additive,0.0,no_additive,0.0,,,45.0,4.0,9.0,,175.0,,,
11.0,89.0,,,,no_additive,0.0,no_additive,0.0,,,38.0,5.0,2.0,,157.0,,,
20.0,80.0,,,,no_additive,0.0,no_additive,0.0,,,26.0,27.0,-5.0,,114.0,,,
28.0,72.0,,,,no_additive,0.0,no_additive,0.0,,,21.0,700.0,-8.0,,102.0,,,
34.0,66.0,,,,no_additive,0.0,no_additive,0.0,,,18.0,970.0,-9.0,,97.0,,,
97.0,3.0,400000.0,,,no_additive,0.0,no_additive,0.0,,106.7,,64.7,,,,,,
,,,,,no_additive,0.0,no_additive,0.0,,,,,,,,,,
,,,,,no_additive,0.0,no_additive,0.0,,,,,,,,,,
,,,,,no_additive,0.0,no_additive,0.0,,,,,,,,,,
88.0,12.0,,,,no_additive,0.0,no_additive,0.0,,,94.0,,,,,,,
88.0,12.0,,,,reinforcment_and_stiffening_modifiers,0.3,no_additive,0.0,,,254.0,,,,,,,
88.0,12.0,,,,reinforcment_and_stiffening_modifiers,0.3,no_additive,0.0,,,241.0,,,,,,,
97.0,3.0,,,,no_additive,0.0,no_additive,0.0,,108.0,,,,,,,,
97.0,3.0,,,,biofunctional_and_enviromental_additives,25.0,no_additive,0.0,,83.61,,,,,,,,
97.0,3.0,,,,biofunctional_and_enviromental_additives,50.0,no_additive,0.0,,70.55,,,,,,,,
